epoch,train_loss,val_loss,train_accuracy,val_accuracy,learning_rate,timestamp,train_f1,val_f1,train_precision,val_precision,train_recall,val_recall,epoch_time_seconds
0,0.6819589731370885,0.6781986828146618,0.5666734993141073,0.5749376741457691,0.001,2025-06-14T02:42:40.605067,0.5635145008100125,0.5867845177845891,0.5732936918304034,0.5648414985590778,0.5540633393716035,0.6105013349154553,46.145215
1,0.6812769326745081,0.6772142232233027,0.5705208054114568,0.5783839272620619,0.001,2025-06-14T02:43:28.902955,0.5783852393040678,0.5433608640406606,0.573344381022525,0.5847863247863248,0.5835155225185833,0.5074161969741916,48.270567
2,0.681123912575026,0.6789684478730696,0.5683291023478028,0.5755975949552721,0.001,2025-06-14T02:44:17.313842,0.5771826591916478,0.6222918298094491,0.5708960923894779,0.5555814495455604,0.5836092198138547,0.7072085434589143,48.382907
3,0.6805464958717556,0.6754280591486207,0.5679822140931238,0.5774307083150022,0.001,2025-06-14T02:45:05.504515,0.5872463506123741,0.5051094890510949,0.567208916567238,0.5998368345910667,0.6087513273783497,0.43622070602195195,48.190673
4,0.6799335280202111,0.6775887144548253,0.570410431875877,0.5764041648335533,0.001,2025-06-14T02:45:54.230821,0.5949481884542765,0.62435789063008,0.5677117321605901,0.5558643047354406,0.6249297270285464,0.7121032334618808,48.70831
